consecutivo,tipoacuerdo,municipio,cod_municipio,subregion,fase,nropobla,aportegob,aportemun,aporteotr,fechainicio,fechafin,cantidadtotal,departamento,cod_divipola_depto,municipio_subsidio,cod_divipola_mun,programa,anio_asignacion,estado_postulacion,hogares,valor_asignado,tiene_subsidio
2020071325,Ejecucion,Peque,5543,Occidente,Fase I,8134,15000000,10000000,0,2020-10-01,2021-06-30,4,Sin dato,0,Sin dato,0,Sin subsidio asignado,0,Sin subsidio asignado,0,0,Sin subsidio
2020070603,Ejecucion,Remedios,5604,Nordeste,Fase I,31652,10000000,5000000,0,2020-08-15,2021-06-30,1,Sin dato,0,Sin dato,0,Sin subsidio asignado,0,Sin subsidio asignado,0,0,Sin subsidio
2020070176,Ejecucion,Salgar,5642,Suroeste,Fase I,18261,15000000,5000000,0,2020-10-01,2021-06-30,4,ANTIOQUIA,5,SALGAR,5642,Bolsa Desplazados,2008,Asignados,8,103378750,Con subsidio
2020071591,Ejecucion,San Pedro de los Milagros,5664,Norte,Fase I,22000,12500000,4000000,0,2020-10-01,2021-06-30,1,ANTIOQUIA,5,SAN PEDRO DE LOS MILAGROS,5664,MI CASA YA,2022,Asignados,2,50000000,Con subsidio
2020072158,Viabilidad,Concordia,5209,Suroeste,Fase I,160,20000000,3000000,0,2020-10-01,2020-12-31,39,ANTIOQUIA,5,CONCORDIA,5209,Programa Vivienda Gratuita Fase I,2015,Asignados,2,70740000,Con subsidio
2020071892,Ejecucion,San Andrés de Cuerquia,5647,Norte,Fase I,7235,12500000,5000000,0,2020-10-01,2021-06-30,1,Sin dato,0,Sin dato,0,Sin subsidio asignado,0,Sin subsidio asignado,0,0,Sin subsidio
2020071919,Ejecucion,San Andrés de Cuerquia,5647,Norte,Fase I,7235,10000000,4000000,0,2020-08-15,2021-06-30,1,Sin dato,0,Sin dato,0,Sin subsidio asignado,0,Sin subsidio asignado,0,0,Sin subsidio
2020070311,Viabilidad,Fredonia,5282,Suroeste,Fase I,160,25000000,3000000,0,2020-10-01,2020-12-31,39,Sin dato,0,Sin dato,0,Sin subsidio asignado,0,Sin subsidio asignado,0,0,Sin subsidio
2020071918,Ejecucion,San Carlos,5649,Oriente,Fase III,15940,10000000,5000000,0,2020-08-15,2021-06-30,1,Sin dato,0,Sin dato,0,Sin subsidio asignado,0,Sin subsidio asignado,0,0,Sin subsidio
2020071703,Gestion,Donmatías,5237,Norte,Fase I,22243,573534553,0,0,2020-09-03,2021-12-15,2,ANTIOQUIA,5,DONMATÍAS,5237,MI CASA YA,2020,Asignados,2,52668180,Con subsidio
2020072196,Ejecucion,Santa Bárbara,5679,Suroeste,Fase I,23503,10000000,5000000,0,2020-08-15,2021-06-30,1,Sin dato,0,Sin dato,0,Sin subsidio asignado,0,Sin subsidio asignado,0,0,Sin subsidio
2020070778,Ejecucion,Santa Rosa de Osos,5686,Norte,Fase I,39379,10000000,5000000,0,2020-08-15,2021-06-30,1,ANTIOQUIA,5,SANTA ROSA DE OSOS,5686,MI CASA YA,2018,Asignados,2,46874520,Con subsidio
2020070778,Ejecucion,Santa Rosa de Osos,5686,Norte,Fase I,39379,10000000,5000000,0,2020-08-15,2021-06-30,1,ANTIOQUIA,5,SANTA ROSA DE OSOS,5686,Bolsa Desplazados,2008,Asignados,1,11537500,Con subsidio
2020070778,Ejecucion,Santa Rosa de Osos,5686,Norte,Fase I,39379,10000000,5000000,0,2020-08-15,2021-06-30,1,ANTIOQUIA,5,SANTA ROSA DE OSOS,5686,Semillero de Propietarios Ahorro,2022,Asignados,1,6000000,Con subsidio
2020070778,Ejecucion,Santa Rosa de Osos,5686,Norte,Fase I,39379,10000000,5000000,0,2020-08-15,2021-06-30,1,ANTIOQUIA,5,SANTA ROSA DE OSOS,5686,MI CASA YA,2019,Asignados,1,24843480,Con subsidio
2020070043,Viabilidad,Frontino,5284,Occidente,Fase II,1500,50000000,22000000,0,2020-01-10,2020-12-31,102,ANTIOQUIA,5,FRONTINO,5284,Programa Vivienda Gratuita Fase I,2015,Asignados,2,73920000,Con subsidio
2020070043,Viabilidad,Frontino,5284,Occidente,Fase II,1500,50000000,22000000,0,2020-01-10,2020-12-31,102,ANTIOQUIA,5,FRONTINO,5284,Bolsa Saludable,2008,Apto con subsidio vencido,5,18460000,Con subsidio
2020070780,Ejecucion,Santa Rosa de Osos,5686,Norte,Fase I,39379,15000000,5000000,0,2020-10-01,2021-06-30,4,ANTIOQUIA,5,SANTA ROSA DE OSOS,5686,MI CASA YA,2018,Asignados,2,46874520,Con subsidio
2020070780,Ejecucion,Santa Rosa de Osos,5686,Norte,Fase I,39379,15000000,5000000,0,2020-10-01,2021-06-30,4,ANTIOQUIA,5,SANTA ROSA DE OSOS,5686,Bolsa Desplazados,2008,Asignados,1,11537500,Con subsidio
2020070780,Ejecucion,Santa Rosa de Osos,5686,Norte,Fase I,39379,15000000,5000000,0,2020-10-01,2021-06-30,4,ANTIOQUIA,5,SANTA ROSA DE OSOS,5686,Semillero de Propietarios Ahorro,2022,Asignados,1,6000000,Con subsidio
2020070780,Ejecucion,Santa Rosa de Osos,5686,Norte,Fase I,39379,15000000,5000000,0,2020-10-01,2021-06-30,4,ANTIOQUIA,5,SANTA ROSA DE OSOS,5686,MI CASA YA,2019,Asignados,1,24843480,Con subsidio
2020071266,Ejecucion,Sonsón,5756,Oriente,Fase II,36625,12500000,4500000,0,2020-10-01,2021-06-30,1,ANTIOQUIA,5,SONSÓN,5756,Bolsa Atentados terroristas,2007,Asignados,22,188496000,Con subsidio
2020071547,Viabilidad,Jardín,5364,Suroeste,Fase I,7458,25000000,3000000,0,2020-10-01,2020-12-31,40,Sin dato,0,Sin dato,0,Sin subsidio asignado,0,Sin subsidio asignado,0,0,Sin subsidio
