"departamento","c_digo_divipola_departamento","municipio","c_digo_divipola_municipio","programa","a_o_de_asignaci_n","estado_de_postulaci_n","hogares","valor_asignado"
"CUNDINAMARCA","25","TOCANCIPÁ","25817","MI CASA YA","2022","Apto con subsidio vencido","3","60000000"
"SANTANDER","68","BARRANCABERMEJA","68081","MI CASA YA","2021","Asignados","4","99937860"
"CASANARE","85","AGUAZUL","85010","MI CASA YA","2022","Asignados","1","30000000"
"QUINDÍO","63","ARMENIA","63001","MI CASA YA","2016","Asignados","1","13789100"
"BOYACÁ","15","TUNJA","15001","MI CASA YA","2018","Asignados","2","31249680"
"QUINDÍO","63","ARMENIA","63001","MI CASA YA","2015","Asignados","1","12887000"
"BOYACÁ","15","CHIQUINQUIRÁ","15176","MI CASA YA","2020","Asignados","1","26334090"
"TOLIMA","73","ROVIRA","73624","Bolsa Atentados terroristas","2009","Asignados","1","10931800"
"BOYACÁ","15","DUITAMA","15238","Semillero de Propietarios Ahorro","2021","Asignados","2","10902312"
"BOYACÁ","15","OTANCHE","15507","Bolsa Desplazados","2008","Asignados","1","14907000"
"NORTE DE SANTANDER","54","ÁBREGO","54003","Semillero de Propietarios Arriendo","2021","Asignados","1","13450380"
"ANTIOQUIA","5","LA CEJA","5376","Semillero de Propietarios Ahorro","2022","Asignados","2","12000000"
"LA GUAJIRA","44","VILLANUEVA","44874","Bolsa Desplazados","2006","Asignados","3","15300000"
"META","50","VILLAVICENCIO","50001","MI CASA YA","2019","Asignados","3","49686960"
"VALLE DEL CAUCA","76","CARTAGO","76147","VIPA","2016","Asignados","1","20683650"
"CUNDINAMARCA","25","SIMIJACA","25745","Bolsa Concejales","2009","Asignados","1","8447300"
"MAGDALENA","47","CIÉNAGA","47189","Bolsa Desplazados","2006","Asignado con aplicación en Vivienda Gratuita","1","10200000"
"NORTE DE SANTANDER","54","SAN JOSÉ DE CÚCUTA","54001","Bolsa Desplazados","2006","Renuncia con restitucion de subsidio","1","10142880"
"NORTE DE SANTANDER","54","LOS PATIOS","54405","MI CASA YA","2018","Asignados","1","15624840"
"SANTANDER","68","BUCARAMANGA","68001","Semillero de Propietarios Arriendo","2021","Asignados","1","13450380"
"CUNDINAMARCA","25","SOACHA","25754","Bolsa Desplazados","2017","Asignados","1","22131510"
"RISARALDA","66","DOSQUEBRADAS","66170","MI CASA YA","2018","Renuncias al subsidio","1","15624840"
"BOYACÁ","15","MONIQUIRÁ","15469","Ahorro Programado Contractual","2009","Apto con subsidio vencido","1","7105670"
"CESAR","20","VALLEDUPAR","20001","Semillero de Propietarios Arriendo","2022","Asignados","1","10229760"
"CUNDINAMARCA","25","CUCUNUBÁ","25224","MI CASA YA","2024","Asignados","1","26000000"
"CALDAS","17","VILLAMARÍA","17873","MI CASA YA","2020","Asignados","1","26334090"
"VALLE DEL CAUCA","76","ROLDANILLO","76622","MI CASA YA","2019","Asignados","1","24843480"
